@relation DATASET_BW

@attribute New-Identifiers-words-AVG numeric
@attribute New-Identifiers-words-MIN numeric
@attribute New-Abstractness-words-AVG numeric
@attribute New-Abstractness-words-MAX numeric
@attribute New-Abstractness-words-MIN numeric
@attribute New-Commented-words-AVG numeric
@attribute New-Commented-words-MAX numeric
@attribute New-Synonym-commented-words-AVG numeric
@attribute New-Synonym-commented-words-MAX numeric
@attribute New-Comments-readability numeric
@attribute New-Number-of-senses-AVG numeric
@attribute New-Number-of-senses-MAX numeric
@attribute New-Semantic-Text-Coherence-Standard-@-0.1 numeric
@attribute New-Semantic-Text-Coherence-Normalized-@-0.3 numeric
@attribute New-Text-Coherence-AVG numeric
@attribute New-Text-Coherence-MIN numeric
@attribute New-Text-Coherence-MAX numeric
@attribute BW-Avg-Assignment numeric
@attribute BW-Avg-blank-lines numeric
@attribute BW-Avg-commas numeric
@attribute BW-Avg-comments numeric
@attribute BW-Avg-comparisons numeric
@attribute BW-Avg-Identifiers-Length numeric
@attribute BW-Avg-conditionals numeric
@attribute BW-Avg-indentation-length numeric
@attribute BW-Avg-keywords numeric
@attribute BW-Avg-line-length numeric
@attribute BW-Avg-loops numeric
@attribute BW-Avg-number-of-identifiers numeric
@attribute BW-Avg-numbers numeric
@attribute BW-Avg-operators numeric
@attribute BW-Avg-parenthesis numeric
@attribute BW-Avg-periods numeric
@attribute BW-Avg-spaces numeric
@attribute BW-Max-Identifiers-Length numeric
@attribute BW-Max-indentation numeric
@attribute BW-Max-keywords numeric
@attribute BW-Max-line-length numeric
@attribute BW-Max-number-of-identifiers numeric
@attribute BW-Max-numbers numeric
@attribute BW-Max-char numeric
@attribute BW-Max-words numeric
@attribute Posnett-entropy numeric
@attribute Posnett-volume numeric
@attribute Posnett-lines numeric
@attribute Dorn-DFT-Assignments numeric
@attribute Dorn-DFT-Commas numeric
@attribute Dorn-DFT-Comments numeric
@attribute Dorn-DFT-Comparisons numeric
@attribute Dorn-DFT-Conditionals numeric
@attribute Dorn-DFT-Indentations numeric
@attribute Dorn-DFT-Keywords numeric
@attribute Dorn-DFT-LineLengths numeric
@attribute Dorn-DFT-Loops numeric
@attribute Dorn-DFT-Identifiers numeric
@attribute Dorn-DFT-Numbers numeric
@attribute Dorn-DFT-Operators numeric
@attribute Dorn-DFT-Parenthesis numeric
@attribute Dorn-DFT-Periods numeric
@attribute Dorn-DFT-Spaces numeric
@attribute Dorn-Visual-X-Comments numeric
@attribute Dorn-Visual-Y-Comments numeric
@attribute Dorn-Visual-X-Identifiers numeric
@attribute Dorn-Visual-Y-Identifiers numeric
@attribute Dorn-Visual-X-Keywords numeric
@attribute Dorn-Visual-Y-Keywords numeric
@attribute Dorn-Visual-X-Numbers numeric
@attribute Dorn-Visual-Y-Numbers numeric
@attribute Dorn-Visual-X-Strings numeric
@attribute Dorn-Visual-Y-Strings numeric
@attribute Dorn-Visual-X-Literals numeric
@attribute Dorn-Visual-Y-Literals numeric
@attribute Dorn-Visual-X-Operators numeric
@attribute Dorn-Visual-Y-Operators numeric
@attribute Dorn-Areas-Comments numeric
@attribute Dorn-Areas-Identifiers numeric
@attribute Dorn-Areas-Keywords numeric
@attribute Dorn-Areas-Numbers numeric
@attribute Dorn-Areas-Strings numeric
@attribute Dorn-Areas-Literals numeric
@attribute Dorn-Areas-Operators numeric
@attribute Dorn-Areas-Identifiers/Comments numeric
@attribute Dorn-Areas-Keywords/Comments numeric
@attribute Dorn-Areas-Numbers/Comments numeric
@attribute Dorn-Areas-Strings/Comments numeric
@attribute Dorn-Areas-Literals/Comments numeric
@attribute Dorn-Areas-Operators/Comments numeric
@attribute Dorn-Areas-Keywords/Identifiers numeric
@attribute Dorn-Areas-Numbers/Identifiers numeric
@attribute Dorn-Areas-Strings/Identifiers numeric
@attribute Dorn-Areas-Literals/Identifiers numeric
@attribute Dorn-Areas-Operators/Identifiers numeric
@attribute Dorn-Areas-Numbers/Keywords numeric
@attribute Dorn-Areas-Strings/Keywords numeric
@attribute Dorn-Areas-Literals/Keywords numeric
@attribute Dorn-Areas-Operators/Keywords numeric
@attribute Dorn-Areas-Strings/Numbers numeric
@attribute Dorn-Areas-Literals/Numbers numeric
@attribute Dorn-Areas-Operators/Numbers numeric
@attribute Dorn-Areas-Literals/Strings numeric
@attribute Dorn-Areas-Operators/Strings numeric
@attribute Dorn-Areas-Operators/Literals numeric
@attribute Dorn-align-blocks numeric
@attribute Dorn-align-extent numeric
@attribute Readable {0,1}

@data
0.823529,0,4.642857,8,0,0,0,0.952381,2,0,7.235294,21,5,1,?,?,?,0.142857,0.285714,0,0.166667,0.142857,6.416667,0.2,0,0.8,25.6,0,2.6,0,0.285714,0.285714,0,3.6,22,0,2,46,7,0,18,4,4.525046,98.099108,7,7,1,8,7,7,6,7,7,1,7,1,7,7,1,7,0,0,49.875,6.784314,49.875,6.666667,0,0,50,7,0,0,49.5,6.764706,0,0.375887,0.113475,0,0.241135,0,0.085106,?,?,?,?,?,?,0.301887,0,0.641509,0,0.226415,0,2.125,0,0.75,?,?,?,0,0.352941,?,2,2,1
0.888889,0,4.3125,10,0,0,0,0.526316,2,0,10.333333,45,3,1,0,1,0,0,0.285714,0.142857,0.166667,0,7,0,8,0,26.8,0,2.2,0,0,0.571429,0.8,5,16,8,0,47,5,0,41,3,4.122512,102.798583,7,1,7,5,1,1,6,1,5,1,6,1,1,7,6,5,0,0,46.75,6.791667,0,0,0,0,0,0,0,0,47,6.833333,0,0.652542,0,0,0,0,0.135593,?,?,?,?,?,?,0,0,0,0,0.207792,?,?,?,?,?,?,?,?,?,?,0,0,1
0.918919,0,3.147059,8,0,0.027027,1,4.8125,14,0,7.297297,31,7,1,0,1,0,0.2,0,0.3,0.090909,0.4,6.382353,0.3,0.3,1.1,36.8,0,3.5,0,0.2,0.7,0,5,12,1,4,81,7,0,50,6,4.656578,398.507135,10,10,10,11,10,10,1,10,7,1,7,1,10,10,1,9,0,0,82,9.795181,82,9.746988,0,0,82,10,0,0,81.818182,9.771084,0,0.560724,0.149871,0,0.005168,0,0.105943,?,?,?,?,?,?,0.267281,0,0.009217,0,0.18894,0,0.034483,0,0.706897,?,?,?,0,20.5,?,10,11,0
0.952381,0,4.3,10,0,0.190476,1,2.076923,5,100,8.666667,17,5,1,0.620174,1,0.620174,0.1,0.363636,0,0.142857,0.1,6.470588,0.166667,10,0.666667,37.166667,0,2.833333,0,0,0.6,0.5,12.333333,13,24,1,63,5,0,77,3,4.290981,183.3985,11,10,1,9,10,10,10,9,10,1,9,1,1,9,10,8,57,11,57,10.775862,56.833333,10.741379,0,0,0,0,0,0,57,10.844828,0.093496,0.447154,0.077236,0,0,0,0.081301,4.782609,0.826087,0,0,0,0.869565,0.172727,0,0,0,0.181818,0,0,0,1.052632,?,?,?,?,?,?,0,0,1
0.911111,0,6,10,0,0.066667,1,1.346939,6,0,11.555556,45,4,1,0,1,0,0.4,0.2,0.8,0.2,0,7.961538,0,10,0.75,80.75,0,6,0.75,0.4,2.4,2.25,13.75,19,16,2,98,7,6,55,6,4.55271,347.832539,5,5,5,6,1,1,5,5,1,1,1,5,5,5,1,5,0,0,98,4.747475,98,4.808081,98,5,0,0,0,0,98,4.838384,0,0.643963,0.027864,0.018576,0,0,0.139319,?,?,?,?,?,?,0.043269,0.028846,0,0,0.216346,0.666667,0,0,5,0,0,7.5,?,?,?,9,9,0
0.88,0,4.772727,11,0,0,0,0.214286,2,0,7.48,45,4,1,?,?,?,0.6,0.2,0,0.2,0.2,11,0.25,0,0.75,40.75,0,2.75,0,0,0.8,0.75,3.5,18,0,1,65,4,0,16,3,4.693462,124,5,4,1,6,5,5,1,4,4,1,4,1,1,5,4,5,0,0,67,4.764706,66.666667,4.691176,0,0,0,0,0,0,67,4.735294,0,0.703488,0.05814,0,0,0,0.104651,?,?,?,?,?,?,0.082645,0,0,0,0.14876,0,0,0,1.8,?,?,?,?,?,?,1,1,0
0.652174,0,6.210526,10,2,0.043478,1,0.892857,4,0,5.608696,17,4,1,?,?,?,0.571429,0.142857,0,0.142857,0.428571,6.4375,0,8.666667,0.666667,35.666667,0.166667,2.666667,0.166667,0.285714,0.857143,0.166667,9.333333,18,12,2,61,5,1,72,4,4.082299,206.323313,7,5,1,7,7,1,1,6,5,7,7,7,7,7,7,7,0,0,61,6.887097,61,6.887097,61,7,0,0,0,0,61,6.887097,0,0.520202,0.060606,0.005051,0,0,0.131313,?,?,?,?,?,?,0.116505,0.009709,0,0,0.252427,0.083333,0,0,2.166667,0,0,26,?,?,?,0,0,1
0.851852,0,4.458333,8,0,0.037037,1,2.266667,6,100,8.666667,57,4,1,0,1,0,0.4,0,0,0.375,2.4,5.954545,0,0,0.6,39.4,0,4.2,0,0.2,1.2,1.2,2.8,14,0,1,55,7,0,25,4,4.926039,281.762898,7,5,1,8,5,1,1,4,1,1,1,1,5,5,5,1,57,6.896552,56.875,6.810345,56.75,6.87931,0,0,57,6.87931,0,0,57,6.844828,0.187251,0.474104,0.047809,0,0.063745,0,0.14741,2.531915,0.255319,0,0.340426,0,0.787234,0.10084,0,0.134454,0,0.310924,0,1.333333,0,3.083333,?,?,?,0,2.3125,?,10,14,0
0.846154,0,5.545455,9,0,0.115385,1,0.84375,3,100,6.461538,15,5,1,0,1,0,0.428571,0.111111,0.714286,0.333333,0,7.176471,0,7.833333,1,43,0,2.666667,0,0,0.428571,0,16,14,15,3,76,7,0,109,6,3.903356,197.153388,9,7,7,10,1,1,5,7,8,1,7,1,1,7,1,5,76,8.909091,75.7,8.896104,75.7,8.779221,0,0,0,0,0,0,75.6,8.857143,0.151815,0.40264,0.059406,0,0,0,0.069307,2.652174,0.391304,0,0,0,0.456522,0.147541,0,0,0,0.172131,0,0,0,1.166667,?,?,?,?,?,?,13,17,1
1,1,2.473684,5,0,0,0,0.347826,2,0,6.894737,18,3,1,?,?,?,0.5,0,0.5,0.2,0,7.909091,0,8,0.75,38.5,0,2.75,0,0,0.5,0,8.5,15,8,2,71,5,0,42,5,4.091349,112.587975,4,4,4,4,1,1,1,4,3,1,4,1,1,3,1,4,0,0,71,3.819444,71,3.930556,0,0,71,4,0,0,71,3.805556,0,0.561644,0.068493,0,0.047945,0,0.089041,?,?,?,?,?,?,0.121951,0,0.085366,0,0.158537,0,0.7,0,1.3,?,?,?,0,1.857143,?,3,3,0
0.8,0,5.375,9,0,0,0,0.923077,4,0,10.3,29,4,1,?,?,?,0.2,0,0,0.166667,0,6.75,0.2,0,0.6,16.8,0,1.6,0,0,0.6,0,2.2,11,0,2,38,2,0,12,3,4.520408,78.137812,5,5,1,6,1,5,1,5,4,1,1,1,1,5,1,4,0,0,40,4.731707,40,4.853659,0,0,0,0,0,0,40,4.804878,0,0.5625,0.09375,0,0,0,0.09375,?,?,?,?,?,?,0.166667,0,0,0,0.166667,0,0,0,1,?,?,?,?,?,?,7,7,1
0.675,0,5.176471,10,0,0.2,1,1.261905,8,100,7.05,45,4,1,0,1,0,0.2,0,0.8,0.444444,0,7.863636,0,5.2,0.4,49.2,0,4.2,0.8,0,1.2,1.4,6.6,19,6,1,99,12,4,53,9,4.747894,221.654536,8,5,5,9,1,1,1,5,8,1,5,1,1,4,5,1,99,7.88,99,7.88,99,7.92,0,0,0,0,0,0,98.777778,7.64,0.204545,0.574675,0.029221,0,0,0,0.084416,2.809524,0.142857,0,0,0,0.412698,0.050847,0,0,0,0.146893,0,0,0,2.888889,?,?,?,?,?,?,23,31,0
0.882353,0,3.133333,8,0,0.058824,1,2.175,7,0,12.088235,37,4,0.8,0,1,0,0,0,0,0.125,0.285714,7.521739,0.285714,0,0.857143,39.428571,0,3,0.285714,0.571429,1.714286,0.857143,3.428571,15,0,2,77,7,1,32,4,4.602169,298.022563,7,1,1,8,7,7,1,5,5,1,7,7,7,6,5,6,0,0,80,6.740741,80,6.62963,80,7,79.25,6.888889,0,0,79.75,6.728395,0,0.486301,0.092466,0.003425,0.164384,0,0.136986,?,?,?,?,?,?,0.190141,0.007042,0.338028,0,0.28169,0.037037,1.777778,0,1.481481,48,0,40,0,0.833333,?,2,2,1
0.678571,0,6.571429,12,0,0,0,0.114286,2,0,7.964286,45,5,1,0.963624,1,0.963624,0,0.285714,0.142857,0.166667,0,11.6,0,9.6,1.2,45.4,0,2,0,0,1,0,11.4,17,12,4,51,3,0,57,4,4.234467,128,7,1,7,8,1,1,6,7,6,1,6,1,1,6,1,6,0,0,51,6.826923,51,6.788462,0,0,0,0,0,0,51,6.75,0,0.511013,0.167401,0,0,0,0.070485,?,?,?,?,?,?,0.327586,0,0,0,0.137931,0,0,0,0.421053,?,?,?,?,?,?,4,4,1
0.765957,0,4.565217,12,0,0,0,1.490566,6,0,13.893617,38,6,1,0.866025,1,0.866025,0.571429,0.142857,0.285714,0.142857,0.428571,6,0.166667,18.666667,0.833333,72.166667,0,5.666667,0,0.428571,2.571429,2,24,13,24,2,107,9,0,144,6,4.01654,511.822575,7,7,7,8,7,7,1,7,1,1,1,1,7,6,7,1,0,0,107,6.768519,107,6.861111,0,0,107,7,0,0,106.875,6.740741,0,0.457275,0.048499,0,0.016166,0,0.147806,?,?,?,?,?,?,0.106061,0,0.035354,0,0.323232,0,0.333333,0,3.047619,?,?,?,0,9.142857,?,8,8,0
0.272727,0,6.666667,10,4,0.242424,1,5.277778,8,0,1.818182,10,4,0.6,?,?,?,0.125,0.125,1.375,0.125,0.125,4.030303,0.142857,13.857143,0.285714,46.428571,0,4.428571,1.285714,1.375,0.875,0.428571,19,9,58,1,76,9,3,133,8,3.758274,341.432319,8,8,7,9,8,8,8,8,7,1,7,8,8,7,6,8,0,0,75.888889,7.597403,76,7.961039,76,7.844156,0,0,0,0,75.888889,7.649351,0,0.427692,0.018462,0.009231,0,0,0.135385,?,?,?,?,?,?,0.043165,0.021583,0,0,0.316547,0.5,0,0,7.333333,0,0,14.666667,?,?,?,0,0,0
0.75,0,5.391304,10,0,0.071429,1,2.193548,8,100,10.821429,40,4,1,0,1,0,0.6,0,0,0.375,0,6.428571,0,6.4,0.6,46.2,0,3.8,0.4,0.8,1.2,1.2,10.6,24,8,1,71,5,1,71,3,4.410114,230.70166,7,5,1,8,1,1,1,4,1,1,1,5,5,5,5,1,71,6.916667,70.875,6.805556,71,6.930556,0,0,0,0,0,0,70.75,6.805556,0.228188,0.459732,0.043624,0,0,0,0.090604,2.014706,0.191176,0,0,0,0.397059,0.094891,0,0,0,0.19708,0,0,0,2.076923,?,?,?,?,?,?,15,17,1
0.741935,0,4.25,10,0,0,0,2.540541,7,0,8.225806,57,6,1,0.849837,1,0.849837,0.285714,0,0,0.125,0.285714,6.958333,0.142857,0,0.857143,34.857143,0.142857,3.428571,0,0,1.714286,1,2,22,0,3,67,7,0,28,4,4.63438,330.342708,7,7,1,8,7,7,1,7,7,7,7,1,1,7,7,7,0,0,69,6.814286,68.875,6.885714,0,0,0,0,0,0,68.875,6.8,0,0.632576,0.094697,0,0,0,0.143939,?,?,?,?,?,?,0.149701,0,0,0,0.227545,0,0,0,1.52,?,?,?,?,?,?,5,5,0
0.857143,0,5.333333,9,0,0,0,0.555556,2,0,11.428571,29,3,1,?,?,?,0.5,0.25,0,0.25,0,8.4,0,8,0.333333,29.333333,0,1.666667,0.333333,0,0,0.333333,10.666667,14,8,1,35,3,1,32,2,3.651401,43.185065,4,4,1,4,1,1,1,4,3,1,4,4,1,1,4,3,0,0,35,3.666667,35,4,35,4,0,0,0,0,35,3.75,0,0.477273,0.079545,0.011364,0,0,0.068182,?,?,?,?,?,?,0.166667,0.02381,0,0,0.142857,0.142857,0,0,0.857143,0,0,6,?,?,?,3,3,1
0.906977,0,3.846154,10,0,0.372093,1,0.956522,4,100,11.837209,45,5,1,0,1,0,0.5,0,0,0.454545,0.166667,9.380952,0.166667,7.333333,0.5,49.833333,0,3.333333,0,0,1.666667,1,9.666667,19,12,2,124,8,0,105,9,4.526473,239.748784,10,6,1,11,6,6,1,5,9,1,6,1,1,6,6,1,124,9.896,124,9.864,124,9.928,0,0,0,0,0,0,124,9.824,0.386831,0.40535,0.024691,0,0,0,0.063786,1.047872,0.06383,0,0,0,0.164894,0.060914,0,0,0,0.15736,0,0,0,2.583333,?,?,?,?,?,?,28,33,0
0.878049,0,4.055556,10,0,0,0,0.408163,4,0,5.853659,37,7,0.714286,?,?,?,0,0.3,0,0.125,0,10.6,0.285714,0,1.142857,43.285714,0,3,0,0.1,1.1,0.571429,2.142857,24,0,2,64,8,0,41,5,4.560044,229.388086,10,1,1,9,1,10,1,8,8,1,8,1,10,9,9,10,0,0,68,9.710145,68,9.536232,0,0,68,10,0,0,67.818182,9.797101,0,0.56231,0.133739,0,0.103343,0,0.091185,?,?,?,?,?,?,0.237838,0,0.183784,0,0.162162,0,0.772727,0,0.681818,?,?,?,0,0.882353,?,12,12,0
