@relation DATASET_DORN

@attribute New-Identifiers-words-AVG numeric
@attribute New-Identifiers-words-MIN numeric
@attribute New-Abstractness-words-AVG numeric
@attribute New-Abstractness-words-MAX numeric
@attribute New-Abstractness-words-MIN numeric
@attribute New-Commented-words-AVG numeric
@attribute New-Commented-words-MAX numeric
@attribute New-Synonym-commented-words-AVG numeric
@attribute New-Synonym-commented-words-MAX numeric
@attribute New-Comments-readability numeric
@attribute New-Number-of-senses-AVG numeric
@attribute New-Number-of-senses-MAX numeric
@attribute New-Semantic-Text-Coherence-Standard-@-0.1 numeric
@attribute New-Semantic-Text-Coherence-Normalized-@-0.3 numeric
@attribute New-Text-Coherence-AVG numeric
@attribute New-Text-Coherence-MIN numeric
@attribute New-Text-Coherence-MAX numeric
@attribute BW-Avg-Assignment numeric
@attribute BW-Avg-blank-lines numeric
@attribute BW-Avg-commas numeric
@attribute BW-Avg-comments numeric
@attribute BW-Avg-comparisons numeric
@attribute BW-Avg-Identifiers-Length numeric
@attribute BW-Avg-conditionals numeric
@attribute BW-Avg-indentation-length numeric
@attribute BW-Avg-keywords numeric
@attribute BW-Avg-line-length numeric
@attribute BW-Avg-loops numeric
@attribute BW-Avg-number-of-identifiers numeric
@attribute BW-Avg-numbers numeric
@attribute BW-Avg-operators numeric
@attribute BW-Avg-parenthesis numeric
@attribute BW-Avg-periods numeric
@attribute BW-Avg-spaces numeric
@attribute BW-Max-Identifiers-Length numeric
@attribute BW-Max-indentation numeric
@attribute BW-Max-keywords numeric
@attribute BW-Max-line-length numeric
@attribute BW-Max-number-of-identifiers numeric
@attribute BW-Max-numbers numeric
@attribute BW-Max-char numeric
@attribute BW-Max-words numeric
@attribute Posnett-entropy numeric
@attribute Posnett-volume numeric
@attribute Posnett-lines numeric
@attribute Dorn-DFT-Assignments numeric
@attribute Dorn-DFT-Commas numeric
@attribute Dorn-DFT-Comments numeric
@attribute Dorn-DFT-Comparisons numeric
@attribute Dorn-DFT-Conditionals numeric
@attribute Dorn-DFT-Indentations numeric
@attribute Dorn-DFT-Keywords numeric
@attribute Dorn-DFT-LineLengths numeric
@attribute Dorn-DFT-Loops numeric
@attribute Dorn-DFT-Identifiers numeric
@attribute Dorn-DFT-Numbers numeric
@attribute Dorn-DFT-Operators numeric
@attribute Dorn-DFT-Parenthesis numeric
@attribute Dorn-DFT-Periods numeric
@attribute Dorn-DFT-Spaces numeric
@attribute Dorn-Visual-X-Comments numeric
@attribute Dorn-Visual-Y-Comments numeric
@attribute Dorn-Visual-X-Identifiers numeric
@attribute Dorn-Visual-Y-Identifiers numeric
@attribute Dorn-Visual-X-Keywords numeric
@attribute Dorn-Visual-Y-Keywords numeric
@attribute Dorn-Visual-X-Numbers numeric
@attribute Dorn-Visual-Y-Numbers numeric
@attribute Dorn-Visual-X-Strings numeric
@attribute Dorn-Visual-Y-Strings numeric
@attribute Dorn-Visual-X-Literals numeric
@attribute Dorn-Visual-Y-Literals numeric
@attribute Dorn-Visual-X-Operators numeric
@attribute Dorn-Visual-Y-Operators numeric
@attribute Dorn-Areas-Comments numeric
@attribute Dorn-Areas-Identifiers numeric
@attribute Dorn-Areas-Keywords numeric
@attribute Dorn-Areas-Numbers numeric
@attribute Dorn-Areas-Strings numeric
@attribute Dorn-Areas-Literals numeric
@attribute Dorn-Areas-Operators numeric
@attribute Dorn-Areas-Identifiers/Comments numeric
@attribute Dorn-Areas-Keywords/Comments numeric
@attribute Dorn-Areas-Numbers/Comments numeric
@attribute Dorn-Areas-Strings/Comments numeric
@attribute Dorn-Areas-Literals/Comments numeric
@attribute Dorn-Areas-Operators/Comments numeric
@attribute Dorn-Areas-Keywords/Identifiers numeric
@attribute Dorn-Areas-Numbers/Identifiers numeric
@attribute Dorn-Areas-Strings/Identifiers numeric
@attribute Dorn-Areas-Literals/Identifiers numeric
@attribute Dorn-Areas-Operators/Identifiers numeric
@attribute Dorn-Areas-Numbers/Keywords numeric
@attribute Dorn-Areas-Strings/Keywords numeric
@attribute Dorn-Areas-Literals/Keywords numeric
@attribute Dorn-Areas-Operators/Keywords numeric
@attribute Dorn-Areas-Strings/Numbers numeric
@attribute Dorn-Areas-Literals/Numbers numeric
@attribute Dorn-Areas-Operators/Numbers numeric
@attribute Dorn-Areas-Literals/Strings numeric
@attribute Dorn-Areas-Operators/Strings numeric
@attribute Dorn-Areas-Operators/Literals numeric
@attribute Dorn-align-blocks numeric
@attribute Dorn-align-extent numeric
@attribute Readable {0,1}

@data
0.847328,0,4.785124,9,0,0,0,2.437086,10,0,8.885496,45,23,0.769231,0.507087,0.298142,0.845154,0.06,0.2,0.14,0.02439,0.02,8.617284,0.1,0,0.5,24.6,0,2.05,0,0,0.68,0.5,1.425,20,0,2,68,7,0,115,9,4.926835,1254,50,50,50,50,50,50,34,50,48,1,48,1,1,49,49,48,0,0,70.980392,49.541667,70.980392,49.541667,0,0,70.980392,49.805556,0,0,70.862745,49.75,0,0.590045,0.095023,0,0.048869,0,0.104977,?,?,?,?,?,?,0.161043,0,0.082822,0,0.177914,0,0.514286,0,1.104762,?,?,?,0,2.148148,?,34,34,1
0.819277,0,5.760563,9,0,0.060241,1,2.404494,9,0,7.168675,49,10,0.533333,0.524075,0.154303,0.857143,0.333333,0,0,0.032258,0,7.56,0.1,0,0.2,18.133333,0,1.6,0.166667,0.366667,0.333333,0.1,1.033333,13,0,1,54,8,4,69,10,4.807603,651.195244,30,28,1,31,1,30,1,30,28,1,28,28,30,30,30,28,0,0,56.903226,29.758621,56.741935,29.87931,56.935484,29.827586,0,0,0,0,56.677419,29.62069,0,0.64726,0.032534,0.018836,0,0,0.128425,?,?,?,?,?,?,0.050265,0.029101,0,0,0.198413,0.578947,0,0,3.947368,0,0,6.818182,?,?,?,8,8,1
0.76087,0,4.888889,10,0,0.195652,2,2.392857,8,0,6.391304,22,10,0.769231,?,?,?,0.192308,0.166667,0,0.045455,0.076923,6.15,0.142857,0,0.47619,19.047619,0.095238,1.857143,0.238095,0.153846,0.846154,0.380952,1.333333,16,0,2,69,9,4,63,5,5.044655,650.104473,30,26,1,30,26,26,22,26,30,26,26,26,26,26,26,26,0,0,86.967742,29.897727,86.645161,29.920455,86.83871,29.318182,87,29.852273,0,0,86.870968,29.977273,0,0.28763,0.0462,0.014903,0.38152,0,0.114754,?,?,?,?,?,?,0.160622,0.051813,1.326425,0,0.398964,0.322581,8.258065,0,2.483871,25.6,0,7.7,0,0.300781,?,16,19,0
0.8125,0,4.346154,10,0,0.09375,1,0.658537,3,0,10.1875,36,7,1,?,?,?,0.2,0.1,0,0.1,0.1,8.277778,0.111111,0.111111,1,28.222222,0.111111,1.777778,0.444444,0.5,1,0.111111,2.333333,29,1,3,60,5,2,23,2,5.000241,260,10,10,1,10,10,10,10,10,10,10,10,10,10,9,10,9,0,0,60,9.885246,59.818182,9.934426,60,9.918033,60,9.901639,0,0,59.909091,9.803279,0,0.487085,0.154982,0.01107,0.095941,0,0.110701,?,?,?,?,?,?,0.318182,0.022727,0.19697,0,0.227273,0.071429,0.619048,0,0.714286,8.666667,0,10,0,1.153846,?,8,8,1
0.707317,0,6.714286,10,0,0.121951,1,3.5625,14,100,4.390244,18,10,0.909091,0.494817,0.218218,0.794719,0.321429,0,0.035714,0.034483,0.071429,5.9375,0.071429,4.285714,0.214286,15.035714,0.071429,1.142857,0.107143,0.142857,0.5,0.214286,3.071429,12,12,2,72,6,2,160,15,4.199317,501.482725,30,25,28,29,28,28,1,28,27,28,28,28,28,28,28,1,75.83871,30,75.903226,29.818182,75.903226,29.883117,75.806452,29.792208,76,30,76,30,76,29.779221,0.163148,0.358925,0.044146,0.003839,0.003839,0.005758,0.111324,2.2,0.270588,0.023529,0.023529,0.035294,0.682353,0.122995,0.010695,0.010695,0.016043,0.31016,0.086957,0.086957,0.130435,2.521739,1,1.5,29,1.5,29,19.333333,3,3,1
0.84472,0,3.639706,9,0,0.124224,1,3.444444,16,0,7.888199,37,16,0.538462,?,?,?,0,0.24,0.02,0.025641,0.16,8.886364,0.210526,0,0.736842,30.473684,0,2.315789,0,0,0.98,0.473684,2.131579,26,0,3,70,7,0,86,17,4.989121,1324.0086,50,1,50,47,50,49,47,47,47,1,49,1,1,49,49,49,0,0,69.588235,49.291667,71,47.75,0,0,71,48.319444,0,0,70.764706,49.055556,0,0.513274,0.108608,0,0.135157,0,0.122285,?,?,?,?,?,?,0.211599,0,0.263323,0,0.238245,0,1.244444,0,1.125926,?,?,?,0,0.904762,?,25,25,0
0.666667,0,5.166667,8,0,0.111111,1,0.363636,1,0,6.555556,37,3,1,?,?,?,0.1,0.1,0,0.1,0,6.166667,0,0,0.222222,7.222222,0,0.555556,0,0,0.3,0.111111,0.444444,13,0,2,29,3,0,11,1,4.054798,82.044703,10,10,1,10,1,1,10,10,10,1,10,1,1,10,10,10,0,0,31.909091,9.909091,32,9.393939,0,0,0,0,0,0,31.818182,9.757576,0,0.435294,0.141176,0,0,0,0.141176,?,?,?,?,?,?,0.324324,0,0,0,0.324324,0,0,0,1,?,?,?,?,?,?,0,0,0
1,1,4.166667,5,0,2.833333,3,6.75,10,100,3.333333,10,2,0.666667,?,?,?,0,0.111111,0,0.444444,0,9.4,0,0.4,0.4,14.4,0,1,0,0.166667,0.166667,0,1.4,15,2,2,20,2,0,32,5,4.35975,36,9,1,1,10,1,1,1,6,8,1,6,1,6,6,1,5,34.3,8.931034,57,8.965517,57,8.844828,0,0,0,0,0,0,56.8,8.948276,0.603175,0.248677,0.05291,0,0,0,0.026455,0.412281,0.087719,0,0,0,0.04386,0.212766,0,0,0,0.106383,0,0,0,0.5,?,?,?,?,?,?,3,5,0
0.555556,0,4.185185,9,0,0.012346,1,2.639175,10,100,6.679012,37,14,0.875,0.589244,0.422577,0.845154,0.035714,0.266667,0.178571,0.130435,0.571429,7.711538,0.05,0,0.8,29.9,0.05,2.55,0,0,0.607143,0.35,2.2,29,0,3,58,7,0,62,9,4.891175,745.680864,30,28,28,31,28,28,28,28,30,28,28,1,1,28,28,28,62,30,61.870968,29.84127,62,29.730159,0,0,0,0,0,0,61.806452,29.730159,0.057101,0.587116,0.121523,0,0,0,0.101025,10.282051,2.128205,0,0,0,1.769231,0.206983,0,0,0,0.17207,0,0,0,0.831325,?,?,?,?,?,?,6,7,1
0.951456,0,4.647959,11,0,0.019417,1,0.45,8,0,8.684466,45,25,0.615385,0.440414,0.273861,0.625,0.12,0.42,0.02,0.033333,0,13.289474,0,0,0.482759,43.172414,0,2.62069,0,0,0.86,0.586207,1.344828,24,0,3,112,6,0,120,27,4.901232,1220.707192,50,50,50,37,1,1,26,50,39,1,31,1,1,41,50,50,0,0,113.960784,49.478261,113.980392,49.834783,0,0,0,0,0,0,113.882353,49.573913,0,0.775134,0.055257,0,0,0,0.100537,?,?,?,?,?,?,0.071287,0,0,0,0.129703,0,0,0,1.819444,?,?,?,?,?,?,2,2,0
0.736842,0,4.511111,11,0,0.438596,5,1.859375,9,0,5.807018,37,11,0.909091,0,1,0,0.076923,0.233333,0,0.05,0,7.605263,0.052632,0.157895,0.368421,22.473684,0,1.947368,0.315789,0,0.576923,0.473684,1.105263,29,3,1,63,11,5,55,4,4.995441,535.7552,30,26,1,29,1,26,24,26,29,1,26,26,1,26,26,26,0,0,71,29.847222,71,29.833333,71,28.75,70.935484,29.805556,0,0,70.935484,29.763889,0,0.369958,0.043115,0.005563,0.315716,0,0.083449,?,?,?,?,?,?,0.116541,0.015038,0.853383,0,0.225564,0.129032,7.322581,0,1.935484,56.75,0,15,0,0.264317,?,6,6,0
0.67033,0,5.039474,10,0,1.813187,7,3.392523,13,100,7.505495,37,20,0.95,0.392202,0.316228,0.527046,0.027778,0.125,0,0.302326,0.027778,7.54,0.033333,11.333333,0.533333,30.633333,0,1.666667,0.3,0,0.416667,0.766667,12.2,25,40,2,62,5,5,487,9,4.10946,722.570535,48,36,1,49,36,36,36,36,46,1,36,36,1,36,36,36,71.938776,47.828947,74.755102,47.907895,74.938776,47.921053,0,0,0,0,0,0,74.877551,47.842105,0.345714,0.285,0.058571,0,0,0,0.049286,0.82438,0.169421,0,0,0,0.142562,0.205514,0,0,0,0.172932,0,0,0,0.841463,?,?,?,?,?,?,51,107,1
0.804348,0,5.474359,11,0,0.032609,1,1.40566,6,100,9.01087,45,14,1,0,1,0,0.111111,0.241379,0.037037,0.130435,0,9.571429,0,5.6,0.7,41.15,0,2.7,0.1,0,0.481481,1.25,5,31,8,3,92,8,6,152,7,4.714107,774.829958,29,27,27,30,1,1,27,27,28,1,27,27,1,27,27,27,92,28.731183,91.9,28.827957,92,28.956989,92,28.376344,92,29,0,0,91.966667,28.817204,0.036946,0.633005,0.076355,0.007389,0.039409,0,0.084975,17.133333,2.066667,0.2,1.066667,0,2.3,0.120623,0.011673,0.062257,0,0.134241,0.096774,0.516129,0,1.112903,5.333333,0,11.5,0,2.15625,?,59,69,1
0.857143,0,5,10,0,0,0,0.8,2,0,5.428571,16,3,1,?,?,?,0,0.1,0,0.111111,0,6.333333,0.125,0,0.375,9.25,0,0.875,0.125,0,0.555556,0.25,0.5,9,0,1,23,2,4,13,1,4.698526,118.536422,10,1,1,11,1,9,9,9,10,1,8,9,1,8,9,9,0,0,55,9.803571,55,9.857143,55,9.464286,55,9.464286,0,0,54.727273,9.857143,0,0.245161,0.077419,0.025806,0.283871,0,0.116129,?,?,?,?,?,?,0.315789,0.105263,1.157895,0,0.473684,0.333333,3.666667,0,1.5,11,0,4.5,0,0.409091,?,0,0,0
0.690722,0,5.089552,9,0,0.103093,5,2.605263,6,100,6.639175,37,19,0.9,?,?,?,0.055556,0.22,0,0.375,0.166667,9.983871,0,0,0.68,33.12,0,2.52,0,0,0.333333,0.96,1.32,28,0,3,69,5,0,156,12,5.043041,820.989488,50,36,1,51,36,1,36,36,50,1,35,1,1,36,36,36,65.862745,49.987654,79.960784,49.814815,79.960784,48.679012,0,0,80,48.765432,0,0,79.745098,49.888889,0.421482,0.416723,0.065262,0,0.010197,0,0.046907,0.98871,0.154839,0,0.024194,0,0.11129,0.156607,0,0.02447,0,0.112561,0,0.15625,0,0.71875,?,?,?,0,4.6,?,79,127,1
0.714286,0,0.8,2,0,0,0,0.222222,1,100,16.428571,37,2,1,0,1,0,0,0.2,0,0.555556,0,14.5,0,0,0.5,11.5,0,0.5,0,0,0.333333,0,0.25,15,0,2,18,1,0,24,3,4.728611,28.073549,10,1,1,11,1,1,1,6,10,1,6,1,1,6,1,6,87,9.965909,87,10,87,10,0,0,0,0,0,0,86.363636,9.75,0.719101,0.162921,0.050562,0,0,0,0.033708,0.226563,0.070313,0,0,0,0.046875,0.310345,0,0,0,0.206897,0,0,0,0.666667,?,?,?,?,?,?,3,6,1
0.641509,0,5.107843,13,0,0.075472,1,7.196532,30,0,4.981132,45,26,0.742857,?,?,?,0.1,0.24,0.42,0.025641,0,8.390909,0,0,0.368421,33.868421,0,3.184211,0.263158,0,0.48,0.842105,1.605263,24,0,3,66,8,2,83,15,5.358432,1317.795849,50,50,50,43,1,1,38,50,38,1,41,49,1,40,49,50,0,0,69,49.385714,68.823529,49.628571,0,0,68.980392,49.757143,0,0,68.803922,49.557143,0,0.300866,0.037518,0,0.458153,0,0.088023,?,?,?,?,?,?,0.1247,0,1.522782,0,0.292566,0,12.211538,0,2.346154,?,?,?,0,0.192126,?,13,13,0
0.705882,0,5.75,11,0,0,0,1.090909,4,0,13.823529,40,5,1,?,?,?,0,0.25,0,0.142857,0,8.454545,0,1,0.833333,25,0,1.833333,0,0.125,0.125,1,2,21,3,2,51,5,0,12,2,4.708377,133.782949,8,1,1,10,1,1,8,7,8,1,8,1,8,8,8,8,0,0,50.9,8.846154,51,8.903846,0,0,0,0,0,0,51,8.903846,0,0.666667,0.16,0,0,0,0.093333,?,?,?,?,?,?,0.24,0,0,0,0.14,0,0,0,0.583333,?,?,?,?,?,?,7,7,1
0.590909,0,5.230769,10,2,0.181818,1,0.458333,2,0,3.636364,26,5,1,?,?,?,0.1,0.3,0,0.125,0,13.1,0.142857,0,0.285714,24.428571,0,1.285714,0.428571,0,0.4,0.285714,0.571429,36,0,1,57,3,1,21,3,4.70913,123.189898,10,10,1,9,1,10,8,10,10,1,10,10,1,10,10,10,0,0,61,9.725806,61,9.741935,0,0,55.727273,9.83871,0,0,61,9.822581,0,0.294118,0.04902,0,0.392157,0,0.083333,?,?,?,?,?,?,0.166667,0,1.333333,0,0.283333,0,8,0,1.7,?,?,?,0,0.2125,?,2,2,0
